targetasin,targetvendorcode,classification_code
B079TNN53B,VOT35,630312000000
B0BP2ZFN8Q,BJ8OU,761699100000
B07MSV6LBH,VOT35,960340100000
B00NBR522U,VOT35,960390990000
B00KVTGGYO,VOT35,392520000000
B009HQBV6U,VOT35,820570000000
B08CRWRBMG,VOT35,940440900000
B002S0O7M2,VOT35,482030000000
B07FLD686H,VOT35,950629000000
B00JJQQIIE,VOT35,950632000000
B01IDEO4TC,VOT35,950790000000
B000XYFBMK,VOT35,920590500000
B09QLDWP4Y,VOT35,950590000000
B002Z6PLF6,VOT35,848180110000
B076VW9MKB,VOT35,820240000000
B0779HRMK8,VOT35,830241900000
B00JS7AYHU,VOT35,670210000011
B0C9HQ6LHW,VOT35,630392900019
B01EIR6ST2,VOT35,691310000090
B01EIR6ST2,ML7NZ,691310000090
B0B3CZ2YXT,VOT35,392690979018
B0B3CZ2YXT,Y47XC,392690979018
B000027ETO,VOT35,852349200000
B0000023FD,HD7V9,852349200000
B017WXLPI8,Y07TA,852349200000
B079JPP1X3,YN8BW,852349200000
B0CFQJKNXD,VOT35,630392900012
B000000A04,VOT35,852349200000
B06XS4BJMT,VOT35,482010900019
B07K548BCQ,VOT35,830250000000
B087638F6N,ADPXP,852349200000
B0794MCJML,VOT35,852349200000
B01N808QIH,VOT35,392112000000
B001QWQY92,VOT35,842139259000
B00FLOTSKI,VOT35,940440900000
B00FLOTSKI,HFAO5,940440900000
B0CZS7VJG4,VOT35,761699909019
B07VS1RDBZ,VOT35,630312000000
B0874XBBZJ,FY7PN,630312000000
B0874XBBZJ,VOT35,630312000000
B00SVRLR06,VOT35,392690979018
B09SBWVQZN,VOT35,950662000000
B084LNLJRW,VOT35,570242000000
B094YQ443T,VOT35,590610000000
B0743MJY4G,VOT35,420100000000
B0844WQN29,VOT35,920994000000
B07DK13H14,VOT35,630232100000
B004VDD4SC,VOT35,920994000000
B06WV7CWPB,VOT35,950790000000
B004MKMAD4,VOT35,920600000000
B0C4FXR76H,VOT35,920600000000
B001R01WLS,VOT35,950590000000
B08T668KHF,Y07TA,950300490000
B09BP5Q4RH,VOT35,570242000000
B00006IE2K,VOT35,480262000000
B001KQ9L6M,VOT35,392630000000
B00T36ROHY,VOT35,392690979018
B00T36ROHY,E97MJ,392690979018
1911624393,VOT35,490199000019
B0BV21R225,VOT35,630392900012
B07685VQYG,VOT35,852349200000
B0000009XG,SG81V,852349200000
B0046BU03Q,VOT35,852349200000
B09RCHJ34S,VOT35,630392900012
B06XJ264NC,VOT35,848180110000
B0C9TPB4MS,VOT35,761699909019
B0D89WTWYB,VOT35,670210000011
B07Q42343R,VOT35,630312000000
B00002N6IP,VOT35,960340100000
B003C1CWWI,VOT35,961519000000
B08NFJ19SZ,VOT35,570390800000
B003KXRUFM,VOT35,420100000000
B07WNS6TMV,VOT35,630222900000
B07T6B8HPR,VOT35,920994000000
B00YHK9CPI,VOT35,441490000000
B09DP53JGR,VOT35,950631000000
B08J4DYHQZ,VOT35,950710000000
B09QBFXD4B,VOT35,910521000000
B079DVWY57,VOT35,920600000000
B009O0CVZY,VOT35,871495000000
B004CP6YJK,VOT35,871495000000
B00S5NXT3O,VOT35,392490000019
B0BY87QFYB,Y07TA,950691900000
B00MX66VSE,VOT35,830242000019
B0C67R1193,VOT35,630392900012
B0C67R1193,BN7KO,630392900012
B0013L4BXM,VOT35,940320809000
B0CHDJWDDF,OA7ES,392640000019
B0CHDJWDDF,VOT35,392640000019
B006FYBI92,VOT35,842489700000
B0038MVPA6,VOT35,392690979018
B01GSWA4FY,HD7V9,852349200000
B002L132Q0,VOT35,852349200000
B082XMLN13,VOT35,630392900012
B00AU9EZDY,9D7CA,848180110000
0062909851,UK80D,490199000019
B09L4Z7TSX,VOT35,852349200000
B0B4JSQBWW,VOT35,392640000019
B0B4JSQBWW,KC7KO,392640000019
B07PXNR3HS,XV7Q1,848180190009
B07PXNR3HS,VOT35,848180190009
B07YP9SXBW,VOT35,401699970019
B00LCUBL4G,6T7E3,848190000019
B00LCUBL4G,VOT35,848190000019
B0D6C587L6,6P7UM,392690979018
B0D6C587L6,VOT35,392690979018
B000ADYTSQ,VOT35,391910809000
B000ADYTSQ,N97VD,391910809000
B01N8ZEJRL,VOT35,630312000000
B07PM2NCP2,VOT35,830242000019
B07PM2NCP2,2A7IR,830242000019
B000E7PFFE,Y07TA,820559800019
B000LNVQVI,VOT35,848250000000
B000LNVQVI,L27G1,848250000000
B005R9KLHQ,R77XX,848190000019
B08LMCR8Q7,VOT35,848180190009
B0BCGVSZDV,VOT35,848180110000
B0CSTBPR38,VOT35,848180110000
B0CSTBPR38,6T7E3,848180110000
B08B42QKDW,VOT35,842441009000
B0000AQOMC,VOT35,392490000013
B0B9MBMRLP,VOT35,392690979018
B09C6J8TJ8,VOT35,920999200000
B08XSPVB71,VOT35,950691900000
B008N83GNY,VOT35,830242000019
B07DX3DNB4,VOT35,392690979018
B07DX3DNB4,8G7DW,392690979018
B0CTTM6J43,VOT35,830140110000
B0CT42VNBF,VOT35,960390990000
B00EALQVB2,VOT35,830241100019
B08F83VB6W,VOT35,392329900019
B07JNFJ688,VOT35,392530000019
B0CDZG8HLG,VOT35,830242000019
B0CDZG8HLG,RBIJW,830242000019
B081J6T23P,KQ7H2,950300490000
B01MTY3XTC,VOT35,852349200000
B08MSVJGVL,VOT35,852380900000
B0728LNN15,VOT35,848180190009
B0CXJKH4Y3,VOT35,741220000011
B0CZRZ5NPS,VOT35,392690979018
B0945S4FB2,VOT35,482010300000
B07D57DJM8,ZV7P2,392690979018
B07D57DJM8,VOT35,392690979018
B000I1AJYS,VOT35,392690979018
B01MQHXIVL,VOT35,950790000000
B09HKX6G7C,VOT35,570242000000
B01IINGWZC,VOT35,962000990000
B07SPHDPCL,VOT35,630140100000
B000XPRRDK,VOT35,920994000000
B0C5YF1L4X,VOT35,950669900000
B00G8XGG7Y,VOT35,950691900000
B07H356MRW,VOT35,570242000000
B0002F7B8W,VOT35,920600000000
B0CFT8Z7BR,VOT35,871496100000
B01LQURJVK,VOT35,391910809000
B06XKMP1YX,VOT35,391739008000
0544963407,VOT35,490199000019
B0748T5TR5,VOT35,392610000000
B077ZH9DF8,VOT35,852380900000
B08P29C21V,VOT35,820420000000
B0CLBPSNNZ,VOT35,630790980019
B00BB5362M,VOT35,392640000019
B00BB5362M,P17MK,392640000019
B091N2HYMM,VOT35,630790980019
B091N2HYMM,D186F,630790980019
B0D9WYMQPZ,VOT35,392690979018
B0D9WYMQPZ,G58AB,392690979018
B091XQW2H2,VOT35,630392900012
B01N13N7H0,VOT35,920994000000
B08YCCBHH2,VOT35,820750300000
B08N45M87L,VOT35,560750110000
B08N45M87L,JH7XW,560750110000
B0C798194X,VOT35,950699900000
B08X258DMG,VOT35,950730000000
B009AX2CKO,VOT35,841990859012
B07842N2ZP,VOT35,392490000013
B09BYJF7DF,VOT35,940599000000
B077819PL6,AV74I,950699900000
B077819PL6,VOT35,950699900000
B09NX2C5LW,Q07XO,901910900019
B0BDSYM5VK,VOT35,950699900000
B001U3ZY4I,VOT35,900220000000
B00152TXAK,VOT35,392690979018
B093T8PLYY,VOT35,392640000019
B000007N82,YN8BW,852349200000
B004AM1MCY,VOT35,848180190009
B002YLPOLS,VOT35,761010000019
B002YLPOLS,FN7UL,761010000019
B07BB56HCR,SL9PB,741220000011
B07BB56HCR,VOT35,741220000011
B0BYKD5QRP,VOT35,491199009000
B0BYKD5QRP,WX7IB,491199009000
B07LH7NJ74,VOT35,630392900012
B0D7ZW9HDT,VOT35,871680009018
B0D7ZW9HDT,49D9I,871680009018
B07V42PFMQ,VOT35,940591909018
B0CHK2Q3RM,KQ7H2,950300210000
B00006BNFE,ADPXP,852349200000
B079KD1LYP,VOT35,630392900012
B00K52N8OI,EG84X,830140110000
B00K52N8OI,VOT35,830140110000
B08S481BTS,VOT35,630391000030
B0000VUNBA,VOT35,630790980019
B071RBSMT4,VOT35,630790980019
B019W0OH48,VOT35,392490000019
B0019EY30Y,VOT35,392690979018
B003N2VNKI,9D7CA,830241100019
B003N2VNKI,VOT35,830241100019
B01N2HRBWU,XV7Q1,848180110000
B000NQDC1A,VOT35,852349200000
B00E4BH5DG,49BZQ,392490000019
B00E4BH5DG,VOT35,392490000019
B0842T9GLP,VOT35,630790980019
B0842T9GLP,IJ7U7,630790980019
B07SR5NGP7,VOT35,630790100019
B06XTFSFNB,VOT35,630130900000
B07Y5VT26N,VOT35,630253900000
B0CT8NBQF7,VOT35,950300210000
B0000WWQ9Q,VOT35,852349200000
B08KGXQY6X,VOT35,630392900012
B07XYLSB6G,VOT35,830241100019
B07TKJ9LM2,VOT35,391890000000
B08ZQZPFJ2,VOT35,392640000019
B01FIJEN1Y,VOT35,441490000000
B07X95XJ6F,VOT35,950699900000
B017807DT0,VOT35,940399100000
B0885CBXTD,VOT35,830629000000
B07MSQ5ND6,VOT35,830250000000
B07MSQ5ND6,2A7IR,830250000000
B0CBHMYMN9,VOT35,851810000000
B0CST8MV68,VOT35,950510900000
B00519BYL4,VOT35,848180190009
B001AEG068,VOT35,848180110000
B004HGS3VQ,VOT35,950790000000
B079X4TKF2,VOT35,920994000000
B09CZJ71JH,VOT35,480262000000
B07VXYKMN2,VOT35,940440900000
B015RA2SJS,VOT35,950730000000
B000KIA3XG,VOT35,950490800000
B07S643MD5,VOT35,920890000000
B000ODQLTC,VOT35,630640000000
B07DV5J3F4,VOT35,640419900000
B0716BWDWW,VOT35,950699900000
B0716BWDWW,AV74I,950699900000
B0031450XY,VOT35,960840001000
B0031450XY,5O7EG,960840001000
B072R8GG8P,VOT35,630221000019
B008Y382XC,VOT35,580632100011
B008Y382XC,ZF80C,580632100011
B0D617NLW5,VOT35,950699900000
B097HV2ZH2,Y07I2,630221000019
B097HV2ZH2,VOT35,630221000019
B00JEMBEIM,VOT35,830250000000
B07J3GTXY9,VOT35,482010300000
B07J33SHF6,VOT35,482010300000
B008E4869Q,VOT35,391890000000
B07S28X2NV,VOT35,950662000000
B003NCVFC4,VOT35,680430000019
B000OZ981I,VOT35,920994000000
0008207771,VOT35,490199000019
B00LDYOOV8,VOT35,950790000000
B08B77BQWL,VOT35,920994000000
B00125RS9I,VOT35,481141909000
B00125RS9I,6N7I1,481141909000
B005Q4900Q,VOT35,842121000000
B09QBZ28VX,VOT35,830250000000
B0063CP6PS,VOT35,820330000000
B000XQQ2AS,VOT35,950510900000
0063278677,LM83Z,490199000019
B001B7X6PM,VOT35,920992000000
B00P19MUMG,VOT35,441490000000
B000UGYYTW,VOT35,920999200000
B01AJJKM7W,VOT35,920999700000
B0029ZAO46,VOT35,920999700000
B07JPJXH5D,VOT35,820750300000
B09TB72GL2,VOT35,442090990000
B08ZDN33RV,VOT35,950651000000
B08GCQVDQ7,VOT35,950710000000
B089HD8R56,VOT35,950730000000
B00004RB59,VOT35,630612000000
B00JG3F3IG,VOT35,842139259000
B077NXLRCJ,WK7EZ,630493000019
